WIN NFT HORSE,339115000000,280355,"2,783","10,000",954
Genesis StarSharks Mystery Box,180696000000,954400,"10,695","10,000",456
Summoners Arena Genesis Chest,52540395238,32211,"13,246","15,000","3,926"
DeHorizon Christmas Carnival,21082052973,34597,"9,181","5,380","1,934"
Poison Mystery Box,18195329399,7158,"8,611","15,000","2,321"
SYN CITY: Limited Blueprint,15986668849,602465,"4,214","8,000","3,595"
Gold Pandora Package,11016301581,262460,"4,278","2,950",374
Highstreet IHO Part I,10576990068,1454267,"2,002","2,500","1,228"
Gamma-Tier 1 (Dark Frontiers£©,10569904841,5308850,558,500,125
Diamond Pandora Package,7113408046,11928807,145,50,10
basis.markets,5978715044,5627124,791,11,5
DeRace,5660332853,1312300,"1,460","1,987",195
MetaRim,5640660283,220705,"3,538","8,888",219
Beta-Tier 2 (Dark Frontiers),3327490547,380567,"2,617","1,000",615
1inch ¡¿ Parts of Four Unicorns,2652234652,1193,"10,190","22,000","4,716"
Bloktopia Genesis Adblok NFTs,2375419283,34326189,53,124,28
Skeleton Crew Skulls,2380481864,104206,"4,228",136,98
Badass Ape Guild,2344994204,214740,"7,428",0,"1,809"
X-Metaverse - Box,2146315563,104984,"20,352","1,000",425
X World Games,1897540466,1193,"119,638","584,360","25,914"
Binamon Forest Land,1826299278,175371,"4,697","9,000",875
CyberTrade Mystery Box,1590539811,96633,"3,200","1,500",607
I'M AIKO,1564861502,208412,"5,554","1,152",553
Flippies,1415430098,0,"3,124","1,602",891
Big Time Studios,1337091733,465270,"1,111","5,022","3,021"
Merry Cryptmas Mystery Box,1290271255,1193,"68,245","50,000","18,092"
LFW Mystery Box II,1283041675,22667,"6,587","4,000","1,115"
BitBow Mystery Box,1279308778,2386,"4,606","28,000","2,209"
D?esse Mystery Box,1033971907,3579,"7,848","17,000","2,363"
Frutti Dino,1022744584,596500,535,"3,000",44
Alpha-Tier 3 (Dark Frontiers),889336166,128844,"5,521","2,000","1,365"
Return of Legends S2,873007575,47720,"1,779","12,000","1,204"
The Attack of Warena Cyborg,822431533,41755,"4,562","7,500",801
Oly Sport Metaverse,795617665,369830,577,"6,811",208
Non-Fungible Cat NEKO,793529915,7158,"4,841","27,200","3,153"
Return of Legends S3,777288413,38176,"3,861","12,000",689
Meerkat Millionaires Country Club,779877704,208412,794,25,21
Hero Arena Mystery Box,776330434,7158,"15,917","10,000","2,534"
Solv Vouchers,698478833,2383614,269,888,91
Stylish Studs,670669816,312618,"1,468",46,25
Kryptomon Breeding Celebration,645731531,107370,"3,857","2,500",518
Return of Legends S1,622031393,65615,"1,244","12,000","2,025"
Drunk Robots,606584429,665694,962,500,39
XWG Christmas Limited,557134579,1193,"17,623","10,000","3,207"
Crypto Idolz,556147422,0,"3,523",544,301
Monsterra Treasury Box,534765829,14316,"15,312","20,000","2,930"
The Roaring Tiger Mystery Box,533795920,2386,"47,815","25,000","9,477"
Era7 Fantasy Box,526921854,83510,"2,880","13,000",464
Fuji Lions,522697296,0,397,0,0
TAP FANTASY METAVERSE,516211100,22667,"3,412","13,076",938
WonderHero Mystery Box,500656766,118107,"2,280","5,000",661
GamesPad NFT Collection,492689912,3329663,110,500,10
SOUNI - Unity 3D MMORPG Game,492586121,10737,"1,397","14,992",384
The Syphon,491113959,3579,"8,634","25,115","3,226"
XCarnival Combo Card,470362917,29825,"9,340","10,000",267
Dvision LAND in Metaverse,469966841,428287,458,"1,472",628
MetaGrail,458650043,572640,"1,230",0,26
Meta Waifus,456943310,0,"2,774",700,388
Megalodon Rogue Shark Tooth,441833440,0,"10,580","1,309",957
Elfin Standard NFT PACK,433113878,8351,"8,310","88,090","1,385"
Crypto Idolz - Butts,425577304,0,"6,710",897,484
CorruptCatz,423910008,0,"3,311",920,648
Pirate Tiger,406259448,453340,"1,101","1,000",1
Biswap Vouchers,398413087,52492,"9,426","5,000",293
Bronze TOWER Tickets,391349334,94247,199,600,331
Parking Infinity Car,390131281,47720,"1,349","1,002",198
X World Games Mystery Box II,386487859,1193,"13,789","20,000","5,859"
MLBB:The Aspirants Mystery Box,367498878,2386,"9,189","25,000","7,341"
Solana Sluts,349090100,0,"3,654",592,248
Dragonary's Exclusive NFTs,347811992,2084171,149,630,69
Hot Bunnies NFT,345442890,0,894,380,235
Continuum World Land,342580687,44141,"2,870","5,000",680
